Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
735,78;38,1;14;38,71;38,71;88,33
735,86;37,4;14;38,02;38,02;89,43
735,92;31,4;14;32,02;32,02;90,26
735,9;23,43;14;24,06;24,06;89,98
735,96;31,5;14;32,13;32,13;90,81
736,16;37,6;14;38,24;38,24;93,59
736,2;31,6;14;32,25;32,25;94,14
736,17;30,67;14;31,31;31,31;93,73
736,17;30,9;14;31,54;31,54;93,73
736,17;43,1;14;43,75;43,75;93,73
736,16;41,3;14;41,95;41,95;93,59
736,13;46,3;14;46,95;46,95;93,17
736,29;76,2;14;76,86;76,86;95,39
736,3;66,9;14;67,56;67,56;95,53
736,28;85,4;14;86,06;86,06;95,25
736,25;89,6;14;90,26;90,26;94,84
736,22;50,2;14;50,85;50,85;94,42
736,19;31,2;14;31,85;31,85;94
736,17;27,4;14;28,05;28,05;93,73
736,17;24,92;14;25,58;25,58;93,73
736,14;20,7;14;21,36;21,36;93,31
736,21;21,34;14;22;22;94,28
736,2;17,04;14;17,7;17,7;94,14
736,2;14,54;14;15,2;15,2;94,14
736,2;13,24;14;13,9;13,9;94,14
736,2;13,3;14;13,96;13,96;94,14
736,19;12,04;14;12,7;12,7;94
736,18;13,4;14;14,05;14,05;93,86
736,18;17,14;14;17,79;17,79;93,86
736,17;20,28;14;20,93;20,93;93,73
736,13;20,92;14;21,57;21,57;93,17
736,09;20,9;14;21,55;21,55;92,62
736,05;19,6;14;20,24;20,24;92,06
736,06;15,82;14;16,46;16,46;92,2
736,06;14,58;14;15,22;15,22;92,2
736,06;13,32;14;13,96;13,96;92,2
736,08;13,88;14;14,52;14,52;92,48
736,06;12,62;14;13,26;13,26;92,2
736,08;11,4;14;12,04;12,04;92,48
736,04;10,2;14;10,84;10,84;91,92
736,03;10,86;14;11,5;11,5;91,79
736,03;10,34;14;10,98;10,98;91,79
736,02;11,02;14;11,66;11,66;91,64
736,02;15,08;14;15,72;15,72;91,64
736,01;17,38;14;18,02;18,02;91,51
736,06;17,8;15;18,44;18,44;92,2
736,1;18,4;15;19,04;19,04;92,75
736,1;18,42;14;19,06;19,06;92,75
736,11;17,38;14;18,03;18,03;92,89
736,1;14,76;14;15,41;15,41;92,75
736,13;13,6;14;14,25;14,25;93,17
736,13;13,64;14;14,29;14,29;93,17
736,11;12,94;14;13,59;13,59;92,89
736,12;11,02;14;11,67;11,67;93,03
736,12;11,24;14;11,89;11,89;93,03
736,1;12,56;14;13,21;13,21;92,75
736,1;11,72;14;12,37;12,37;92,75
736,1;11,7;14;12,35;12,35;92,75
736,1;11,14;14;11,8;11,8;92,75
736,08;11,82;14;12,48;12,48;92,48
736,07;11,18;14;11,84;11,84;92,34
736,08;10,66;14;11,32;11,32;92,48
736,07;11,34;14;12;12;92,34
736,06;12,04;14;12,7;12,7;92,2
736,05;11,92;14;12,58;12,58;92,06
736,05;11,8;14;12,46;12,46;92,06
736,05;11,2;14;11,86;11,86;92,06
736,05;11,14;14;11,8;11,8;92,06
736,03;11,16;14;11,82;11,82;91,79
736,02;9,54;14;10,2;10,2;91,64
736,02;10,72;14;11,38;11,38;91,64
736;11,3;14;11,96;11,96;91,37
736,01;11,9;14;12,55;12,55;91,51
736;11,8;14;12,45;12,45;91,37
736;11,66;14;12,31;12,31;91,37
736;9,88;14;10,53;10,53;91,37
735,97;10,02;14;10,67;10,67;90,95
735,96;9,3;14;9,94;9,94;90,81
735,98;8,6;14;9,24;9,24;91,09
735,98;9,9;14;10,54;10,54;91,09
735,94;10,62;14;11,25;11,25;90,54
735,93;10,66;14;11,29;11,29;90,4
735,92;11,5;14;12,13;12,13;90,26
735,92;11,72;14;12,34;12,34;90,26
735,91;10,62;14;11,24;11,24;90,13
735,9;10,08;14;10,69;10,69;89,98
735,88;9,48;14;10,09;10,09;89,71
735,86;7,5;14;8,1;8,1;89,43
735,84;6,88;14;7,48;7,48;89,16
735,81;6,22;14;6,81;6,81;88,74
735,79;8;14;8,58;8,58;88,47
735,76;8,6;14;9,18;9,18;88,05
735,79;10,48;14;11,05;11,05;88,47
735,78;11,66;14;12,23;12,23;88,33
735,78;11,56;14;12,12;12,12;88,33
735,76;8,46;14;9,02;9,02;88,05
735,73;10,28;14;10,83;10,83;87,64
735,69;9,16;14;9,7;9,7;87,09
735,71;7,96;14;8,5;8,5;87,37
735,69;8,6;14;9,13;9,13;87,09
735,67;9,82;14;10,35;10,35;86,82
735,65;7,38;14;7,9;7,9;86,54
735,63;7,98;14;8,5;8,5;86,26
735,61;8,12;14;8,63;8,63;85,99
735,6;9,34;14;9,85;9,85;85,85
735,58;10,48;14;10,99;10,99;85,58
735,58;9,82;14;10,32;10,32;85,58
735,58;8,06;14;8,56;8,56;85,58
735,55;10,42;14;10,91;10,91;85,17
735,51;14,46;14;14,95;14,95;84,62
735,53;17,48;14;17,97;17,97;84,89
735,6;22,82;14;23,31;23,31;85,85
735,63;24,66;14;25,15;25,15;86,26
735,71;25,7;14;26,19;26,19;87,37
735,7;24,12;14;24,61;24,61;87,23
735,74;21,74;14;22,22;22,22;87,78
735,78;18,32;14;18,8;18,8;88,33
735,78;18,94;14;19,42;19,42;88,33
735,79;17,34;14;17,82;17,82;88,47
735,79;13,7;14;14,18;14,18;88,47
735,78;11,94;14;12,42;12,42;88,33
735,76;11,88;14;12,36;12,36;88,05
735,74;9,98;14;10,46;10,46;87,78
735,76;7,42;14;7,9;7,9;88,05
735,73;8,6;14;9,08;9,08;87,64
735,7;9,24;14;9,72;9,72;87,23
735,7;8;14;8,48;8,48;87,23
735,69;10,42;14;10,9;10,9;87,09
735,67;11,08;14;11,57;11,57;86,82
735,68;9,18;14;9,67;9,67;86,95
735,66;7,82;14;8,31;8,31;86,68
735,63;9,1;14;9,59;9,59;86,26
735,6;8,5;14;8,99;8,99;85,85
735,6;8,96;14;9,45;9,45;85,85
735,6;10,3;14;10,79;10,79;85,85
735,59;12,3;14;12,79;12,79;85,71
735,58;10,98;14;11,47;11,47;85,58
735,58;10,36;14;10,86;10,86;85,58
735,56;9,88;14;10,38;10,38;85,31
735,55;8,78;14;9,28;9,28;85,17
735,53;8,78;14;9,28;9,28;84,89
735,5;8,06;14;8,56;8,56;84,48
735,5;6,8;14;7,3;7,3;84,48
735,46;9,72;14;10,22;10,22;83,93
735,46;10,76;14;11,26;11,26;83,93
735,46;8,7;14;9,2;9,2;83,93
735,45;8,98;14;9,48;9,48;83,79
735,41;9,12;14;9,62;9,62;83,25
735,38;5,56;14;6,06;6,06;82,84
735,34;4,48;14;4,98;4,98;82,29
735,33;4,78;14;5,28;5,28;82,16
735,31;4,72;14;5,22;5,22;81,88
735,27;5,34;14;5,84;5,84;81,34
735,24;6,7;14;7,19;7,19;80,92
735,23;7,88;14;8,37;8,37;80,79
735,22;7,78;14;8,27;8,27;80,65
735,2;9,58;14;10,07;10,07;80,38
735,16;8,94;14;9,43;9,43;79,84
735,16;7,68;14;8,17;8,17;79,84
735,12;6,56;14;7,04;7,04;79,29
735,08;6,72;14;7,2;7,2;78,75
735,06;4,38;14;4,86;4,86;78,48
735,03;5,98;14;6,46;6,46;78,07
735;7,66;14;8,13;8,13;77,66
735,02;10,28;14;10,75;10,75;77,93
735,02;10,76;14;11,23;11,23;77,93
735,04;12,5;15;12,97;12,97;78,2
735,02;10,88;14;11,34;11,34;77,93
735;8,62;14;9,08;9,08;77,66
734,98;7,1;14;7,58;7,58;77,39
734,94;7,2;14;7,65;7,65;76,85
734,93;6,02;14;6,47;6,47;76,71
734,91;6,6;14;7,05;7,05;76,44
734,88;8,92;14;9,36;9,36;76,03
734,88;7,74;14;8,18;8,18;76,03
734,87;7,62;14;8,05;8,05;75,9
734,83;7,46;14;7,89;7,89;75,36
734,81;7,54;14;7,96;7,96;75,09
734,78;6,4;14;6,82;6,82;74,69
734,75;7;14;7,42;7,42;74,28
734,74;7,68;14;8,09;8,09;74,15
734,91;8,98;14;9,39;9,39;76,44
734,88;8,22;14;8,62;8,62;76,03
734,88;8,54;14;8,94;8,94;76,03
734,87;8,03;14;8,43;8,43;75,9
734,83;9,4;14;9,79;9,79;75,36
734,81;48,5;14;48,89;48,89;75,09
734,78;27,6;14;27,98;27,98;74,69
734,75;20,33;14;20,71;20,71;74,28
734,84;17,6;14;17,97;17,97;75,5
734,85;16,32;14;16,69;16,69;75,63
734,85;13,84;14;14,2;14,2;75,63
734,86;11,36;14;11,72;11,72;75,77
734,85;10,84;14;11,19;11,19;75,63
734,81;10,8;14;11,14;11,14;75,09
734,81;8,64;14;8,98;8,98;75,09
734,81;9,92;14;10,25;10,25;75,09
734,78;10,32;14;10,65;10,65;74,69
734,79;10,08;14;10,4;10,4;74,82
734,77;9,26;14;9,58;9,58;74,55
734,76;8,68;14;8,99;8,99;74,42
734,75;7,48;14;7,79;7,79;74,28
734,73;8,92;14;9,22;9,22;74,01
734,73;9,78;14;10,08;10,08;74,01
734,7;10,6;14;10,89;10,89;73,61
734,7;11,76;14;12,05;12,05;73,61
734,7;12,94;14;13,22;13,22;73,61
734,7;12,4;14;12,67;12,67;73,61
734,7;12,36;14;12,63;12,63;73,61
734,68;10,7;14;10,97;10,97;73,34
734,68;8,94;14;9,2;9,2;73,34
734,65;8,72;14;8,98;8,98;72,94
734,62;8,68;14;8,94;8,94;72,53
734,61;8,68;14;8,93;8,93;72,4
734,6;9,84;14;10,09;10,09;72,26
734,6;10,44;14;10,69;10,69;72,26
734,59;9,46;14;9,71;9,71;72,13
734,57;9,44;14;9,68;9,68;71,86
734,54;8,78;14;9,02;9,02;71,46
734,55;9,14;14;9,38;9,38;71,59
734,53;9,7;14;9,94;9,94;71,33
734,53;10,36;14;11;10,6;71,33
734,5;10,42;14;11;10,66;70,92
734,48;10,48;14;11;10,72;70,66
734,48;9,48;14;10;9,72;70,66
734,48;9,6;14;10;9,84;70,66
734,44;9,6;14;10;9,84;70,12
734,44;9,06;14;9;9,3;70,12
734,42;9,72;14;10;9,97;69,86
734,4;9,58;14;10;9,83;69,59
734,4;8,92;14;9;9,17;69,59
734,38;9,28;14;10;9,54;69,32
734,36;9,86;14;10;10,12;69,06
734,35;9,64;14;10;9,9;68,92
734,35;9,78;14;10;10,05;68,92
734,35;11,52;14;12;11,79;68,92
734,33;11,2;14;11;11,48;68,66
734,34;10,62;14;11;10,9;68,79
734,32;9,68;14;10;9,97;68,52
734,32;9,7;14;10;9,99;68,52
734,3;8,6;14;9;8,9;68,26
734,28;10,2;14;11;10,51;67,99
734,27;11,32;14;12;11,63;67,86
734,26;12,4;14;13;12,72;67,73
734,34;14,76;14;15;15,08;68,79
734,34;15,34;14;16;15,67;68,79
734,34;13,74;14;14;14,08;68,79
734,34;12,04;14;12;12,39;68,79
734,32;8;14;14;18,36;68,52
734,32;14;14;13;24,36;68,52
734,29;5;14;12;15,37;68,12
734,26;5;14;14;15,38;67,73
734,27;17;14;16;27,38;67,86
734,26;11;14;15;21,39;67,73
734,27;17;14;15;27,39;67,86
734,26;11;14;16;21,4;67,73
734,28;20;14;16;30,41;67,99
734,28;14;14;16;24,41;67,99
734,29;17;14;17;27,42;68,12
734,29;14;14;17;24,42;68,12
734,31;20;14;17;30,42;68,39
734,33;20;14;16;30,43;68,66
734,32;11;14;11;21,43;68,52
734,41;40;14;40;50,44;69,72
734,48;34;14;34;44,44;70,66
734,48;14;14;61;24,44;70,66
734,65;64;14;16;74,45;72,94
734,87;79;14;79;89,45;75,9
734,98;47;14;47;57,46;77,39
735,07;41;14;41;51,46;78,61
735,12;29;14;29;39,46;79,29
735,17;29;14;30;39,46;79,97
735,23;32;14;29;42,46;80,79
735,3;35;14;29;45,46;81,74
735,3;14;14;20;24,46;81,74
735,36;32;14;37;42,46;82,56
735,48;50;14;43;60,46;84,21
735,54;32;14;38;42,46;85,03
735,61;35;14;23;45,46;85,99
735,62;17;14;19;27,45;86,13
735,63;15,42;14;16;15,86;86,26
735,63;14,56;14;15;15;86,26
735,62;13,33;14;13,76;13,76;86,13
735,6;18;14;18,42;18,42;85,85
735,58;49,2;14;49,62;49,62;85,58
735,55;30,4;14;30,81;30,81;85,17
735,52;34,9;14;35,3;35,3;84,76
735,52;43,4;14;43,8;43,8;84,76
735,52;36,9;14;37,29;37,29;84,76
735,52;58,1;14;58,48;58,48;84,76
735,52;35,5;14;35,87;35,87;84,76
735,52;63,4;14;63,77;63,77;84,76
735,53;67,2;14;67,56;67,56;84,89
735,52;49,7;14;50,06;50,06;84,76
735,51;51,5;14;51,85;51,85;84,62
735,5;37,5;14;37,85;37,85;84,48
735,49;44,1;14;44,44;44,44;84,34
735,48;57,2;14;57,54;57,54;84,21
735,47;29,9;14;30,23;30,23;84,07
735,44;12,7;14;13,03;13,03;83,66
735,4;46,7;14;47,02;47,02;83,11
735,33;20;14;20,31;20,31;82,16
735,3;25,27;14;25,58;25,58;81,74
735,26;23,04;14;23,34;23,34;81,2
735,22;25,92;14;26,22;26,22;80,65
735,18;26,62;14;26,92;26,92;80,11
735,19;24,48;14;24,78;24,78;80,24
735,23;26,26;14;26,56;26,56;80,79
735,26;22,24;14;22,54;22,54;81,2
735,27;18,14;14;18,44;18,44;81,34
735,26;15,22;14;15,52;15,52;81,2
735,25;13,96;14;14,26;14,26;81,06
735,23;13,34;14;13,64;13,64;80,79
735,25;13,86;14;14,16;14,16;81,06
735,26;17,36;14;17,66;17,66;81,2
735,26;20,4;14;20,71;20,71;81,2
735,33;20,4;14;20,71;20,71;82,16
735,36;19,84;14;20,15;20,15;82,56
735,37;20,4;14;20,72;20,72;82,7
735,36;16,36;14;16,68;16,68;82,56
735,37;13,96;14;14,29;14,29;82,7
735,37;13,44;14;13,77;13,77;82,7
735,36;17,58;14;17,92;17,92;82,56
735,36;18,74;14;19,09;19,09;82,56
735,42;19,3;14;19,65;19,65;83,38
735,45;18,66;14;19,02;19,02;83,79
735,45;21,58;14;21,95;21,95;83,79
735,45;19,76;14;20,14;20,14;83,79
735,47;20,48;14;20,86;20,86;84,07
735,52;21,7;14;22,09;22,09;84,76
735,56;21,74;14;22,14;22,14;85,31
735,58;19,36;14;19,77;19,77;85,58
735,57;17,7;14;18,12;18,12;85,44
735,58;17,16;14;17,59;17,59;85,58
735,59;16,58;14;17,02;17,02;85,71
735,6;16,52;14;16,97;16,97;85,85
735,62;15,9;14;16,35;16,35;86,13
735,61;15,16;14;15,62;15,62;85,99
735,61;15,68;14;16,15;16,15;85,99
735,58;16,8;14;17,28;17,28;85,58
735,64;25,8;14;26,29;26,29;86,4
735,69;46,9;14;47,4;47,4;87,09
735,7;84,5;14;85;85;87,23
735,74;80,8;14;81,31;81,31;87,78
735,71;63,6;14;64,12;64,12;87,37
735,68;33,2;14;33,72;33,72;86,95
735,64;25,77;14;26,29;26,29;86,4
735,6;21,92;14;22,45;22,45;85,85
735,58;17,44;14;17,98;17,98;85,58
735,6;15,42;14;15,96;15,96;85,85
735,59;13,52;14;14,07;14,07;85,71
735,58;14,88;14;15,43;15,43;85,58
735,58;12,58;14;13,14;13,14;85,58
735,6;13,58;14;14,14;14,14;85,85
735,58;14,1;14;14,67;14,67;85,58
735,59;14,68;14;15,25;15,25;85,71
735,58;13,56;14;14,14;14,14;85,58
735,57;17,1;14;17,68;17,68;85,44
735,6;16,62;14;17,2;17,2;85,85
735,59;17,84;13;18,43;18,43;85,71
735,6;17,32;13;17,91;17,91;85,85
735,63;20,9;14;21,5;21,5;86,26
735,66;19,7;14;20,3;20,3;86,68
735,72;20,42;14;21,03;21,03;87,5
735,74;18,64;14;19,25;19,25;87,78
735,75;20,44;14;21,05;21,05;87,92
735,74;16,84;14;17,45;17,45;87,78
735,77;16,26;14;16,88;16,88;88,19
735,77;15,06;14;15,68;15,68;88,19
735,78;15,1;14;15,72;15,72;88,33
735,77;13,3;14;13,92;13,92;88,19
735,76;13,34;14;13,97;13,97;88,05
735,76;12,62;14;13,25;13,25;88,05
735,76;15,5;14;16,13;16,13;88,05
735,76;19,02;15;19,65;19,65;88,05
735,76;21,96;15;22,59;22,59;88,05
735,83;21,98;14;22,61;22,61;89,02
735,89;22,06;14;22,7;22,7;89,85
735,9;20,32;14;20,96;20,96;89,98
735,9;18,9;14;19,54;19,54;89,98
735,91;19,14;14;19,78;19,78;90,13
735,94;22,63;14;23,28;23,28;90,54
736;29,7;14;30,35;30,35;91,37
736;44,2;14;44,85;44,85;91,37
736,12;59,3;15;59,95;59,95;93,03
736,1;39,4;14;40,05;40,05;92,75
736,08;26,4;14;27,05;27,05;92,48
736,06;18,03;14;18,68;18,68;92,2
736,04;15,14;14;15,79;15,79;91,92
736;12,62;14;13,27;13,27;91,37
736;11,96;14;12,6;12,6;91,37
736;11,4;14;12,04;12,04;91,37
735,99;13,82;14;14,46;14,46;91,23
735,98;13,82;14;14,46;14,46;91,09
736;12;14;12,64;12,64;91,37
736;12;14;12,64;12,64;91,37
735,96;10,78;14;11,42;11,42;90,81
735,96;9,56;14;10,2;10,2;90,81
735,93;9,56;14;10,2;10,2;90,4
735,93;10,78;14;11,42;11,42;90,4
735,93;10,76;14;11,4;11,4;90,4
735,92;11,86;14;12,5;12,5;90,26
735,91;11,8;14;12,44;12,44;90,13
735,9;11,16;14;11,8;11,8;89,98
735,9;11,2;14;11,84;11,84;89,98
735,89;11,22;14;11,86;11,86;89,85
735,88;10,12;14;10,76;10,76;89,71
735,87;9,48;14;10,12;10,12;89,57
735,84;10,08;14;10,72;10,72;89,16
735,83;10,54;14;11,18;11,18;89,02
735,82;9,22;14;9,86;9,86;88,88
735,81;9,94;14;10,58;10,58;88,74
735,78;9,42;14;10,06;10,06;88,33
735,78;7,6;14;8,24;8,24;88,33
735,76;7,56;14;8,2;8,2;88,05
735,73;8,88;14;9,52;9,52;87,64
735,73;8,68;14;9,32;9,32;87,64
735,72;9,2;14;9,84;9,84;87,5
735,69;10,44;14;11,08;11,08;87,09
735,69;10,64;14;11,28;11,28;87,09
735,68;11,2;14;11,84;11,84;86,95
735,68;10,66;14;11,3;11,3;86,95
735,68;10,76;14;11,4;11,4;86,95
735,64;9,6;14;10,24;10,24;86,4
735,64;8,96;14;9,6;9,6;86,4
735,6;7,9;14;8,54;8,54;85,85
735,6;8;14;8,64;8,64;85,85
735,57;8;14;8,64;8,64;85,44
735,54;9,24;14;9,88;9,88;85,03
735,53;8,68;14;9,32;9,32;84,89
735,53;9,84;14;10,48;10,48;84,89
735,51;9,26;14;9,9;9,9;84,62
735,5;8,16;14;8,8;8,8;84,48
735,46;7,6;13;8,23;8,23;83,93
735,47;7,54;14;8,17;8,17;84,07
735,47;6,24;14;6,87;6,87;84,07
735,47;6,8;14;7,43;7,43;84,07
735,47;7,22;14;7,85;7,85;84,07
735,47;9,52;14;10,14;10,14;84,07
735,44;10,7;14;11,32;11,32;83,66
735,4;11,94;14;12,56;12,56;83,11
735,36;13,76;14;14,38;14,38;82,56
735,34;14,46;14;15,08;15,08;82,29
735,35;13,92;14;14,53;14,53;82,43
735,35;13,94;14;14,55;14,55;82,43
735,35;11,48;14;12,09;12,09;82,43
735,34;9,68;14;10,29;10,29;82,29
735,3;9,7;14;10,3;10,3;81,74
735,28;8,56;15;9,15;9,15;81,47
735,27;7,36;14;7,95;7,95;81,34
735,26;8,66;14;9,25;9,25;81,2
735,24;9,32;14;9,9;9,9;80,92
735,22;8,14;14;8,71;8,71;80,65
735,2;7,34;14;7,91;7,91;80,38
735,16;6,8;14;7,36;7,36;79,84
735,16;6,24;14;6,8;6,8;79,84
735,12;5,98;14;6,53;6,53;79,29
735,12;8,24;14;8,79;8,79;79,29
735,09;10,18;14;10,72;10,72;78,88
735,1;11,3;14;11,84;11,84;79,02
735,09;12,4;14;12,93;12,93;78,88
735,08;13,2;14;13,73;13,73;78,75
735,08;11,56;14;12,08;12,08;78,75
735,06;8,48;14;9;9;78,48
735,04;8,44;14;8,95;8,95;78,2
735;8,48;14;8,98;8,98;77,66
734,99;8,46;14;8,96;8,96;77,53
734,98;8,98;14;9,47;9,47;77,39
734,98;9,64;14;10,13;10,13;77,39
734,96;8,52;14;9,01;9,01;77,12
734,96;9,02;14;9,5;9,5;77,12
734,96;9,66;14;10,14;10,14;77,12
734,92;8,54;14;9,01;9,01;76,58
734,9;7,94;14;8,41;8,41;76,31
734,87;7,96;14;8,43;8,43;75,9
734,83;6,32;14;6,78;6,78;75,36
734,8;5,14;14;5,6;5,6;74,96
734,77;4,98;14;5,44;5,44;74,55
734,75;5,64;14;6,1;6,1;74,28
734,72;6,82;14;7,28;7,28;73,88
734,69;7,94;14;8,39;8,39;73,48
734,68;6,64;14;7,09;7,09;73,34
734,67;7,9;14;8,35;8,35;73,21
734,63;7,1;14;7,55;7,55;72,67
734,63;5,68;14;6,13;6,13;72,67
734,6;5,7;14;6,15;6,15;72,26
734,56;6,38;14;6,83;6,83;71,73
734,54;5,76;14;6,21;6,21;71,46
734,51;7,62;14;8,07;8,07;71,06
734,49;7,8;14;8,25;8,25;70,79
734,48;8,32;14;8,77;8,77;70,66
734,45;8,22;14;8,67;8,67;70,26
734,44;7,06;14;7,51;7,51;70,12
734,4;5,36;14;5,81;5,81;69,59
734,38;6,56;14;7,01;7,01;69,32
734,34;5,44;14;5,89;5,89;68,79
734,33;6,12;14;6,57;6,57;68,66
734,31;6,24;14;6,69;6,69;68,39
734,28;6,24;14;6,69;6,69;67,99
734,24;6,32;14;6,77;6,77;67,46
734,21;5,8;14;6,25;6,25;67,06
734,2;6,28;14;6,74;6,74;66,93
734,17;6,82;15;7,28;7,28;66,53
734,16;7,48;14;7,94;7,94;66,4
734,13;6,3;14;6,76;6,76;66
734,1;8,42;15;8,88;8,88;65,61
734,07;7,26;15;7,72;7,72;65,21
734,08;7,34;14;7,8;7,8;65,34
734,05;7,36;14;7,82;7,82;64,95
734,01;8;14;8,46;8,46;64,42
733,99;6,54;14;7;7;64,16
733,97;8,62;14;9,08;9,08;63,91
733,93;11,58;14;12,04;12,04;63,4
733,96;13,7;14;14,16;14,16;63,78
734;13,9;14;14,36;14,36;64,28
734;15,84;14;16,3;16,3;64,28
733,99;14,22;14;14,68;14,68;64,16
734,01;11,66;14;12,12;12,12;64,42
733,99;9,76;15;10,22;10,22;64,16
733,97;9;14;9,46;9,46;63,91
733,95;6,02;14;6,48;6,48;63,66
733,93;7,24;14;7,69;7,69;63,4
733,9;12,22;14;12,67;12,67;63,02
733,9;13,98;14;14,43;14,43;63,02
733,97;14,94;14;15,39;15,39;63,91
733,99;15,6;14;16,05;16,05;64,16
733,99;14,22;14;14,67;14,67;64,16
733,98;7,98;14;8,43;8,43;64,03
733,97;7,08;14;7,52;7,52;63,91
733,94;5,28;14;5,72;5,72;63,53
733,94;5,44;14;5,88;5,88;63,53
733,91;4,52;14;4,96;4,96;63,15
733,9;5,94;14;6,37;6,37;63,02
733,87;4,48;14;4,91;4,91;62,65
733,86;5,72;14;6,15;6,15;62,52
733,84;5,14;14;5,56;5,56;62,27
733,83;6,1;14;6,52;6,52;62,14
733,81;5,54;14;5,96;5,96;61,89
733,8;5,26;14;5,67;5,67;61,76
733,78;5;14;5,41;5,41;61,51
733,75;4,78;14;5,19;5,19;61,14
733,74;4,38;14;4,78;4,78;61,02
733,72;4,9;14;5,3;5,3;60,77
733,71;4,9;15;5,3;5,3;60,65
733,69;4,02;14;4,41;4,41;60,4
733,65;4,32;14;4,71;4,71;59,9
733,63;4,74;14;5,12;5,12;59,65
733,61;3,72;14;4,1;4,1;59,41
733,61;4,08;9;4,46;4,46;59,41
733,58;5,08;14;5,45;5,45;59,04
733,55;4,98;15;5,35;5,35;58,68
733,57;5,1;14;5,47;5,47;58,92
733,53;5,38;14;5,74;5,74;58,43
733,52;5,7;14;6,06;6,06;58,31
733,52;5,18;14;5,53;5,53;58,31
733,48;5,8;15;6,15;6,15;57,83
733,46;6,46;14;6,8;6,8;57,58
733,45;5,82;14;6,16;6,16;57,46
733,45;5,08;15;5,41;5,41;57,46
733,41;5,24;14;5,57;5,57;56,97
733,39;4,18;14;4,51;4,51;56,73
733,38;3,36;15;3,68;3,68;56,61
733,34;4,26;15;4,58;4,58;56,13
733,33;4,94;15;5,25;5,25;56,01
733,3;4,94;14;5,25;5,25;55,65
733,29;6,4;14;6,7;6,7;55,54
733,28;8,6;14;8,9;8,9;55,42
733,27;14,04;14;14,33;14,33;55,3
733,31;19,93;14;20,22;20,22;55,77
733,4;32,9;14;33,19;33,19;56,85
733,54;47;13;47,28;47,28;58,55
733,62;30,6;14;30,88;30,88;59,53
733,67;23,6;14;23,88;23,88;60,15
733,7;18,8;14;19,07;19,07;60,52
733,72;13,56;14;13,83;13,83;60,77
733,71;9,72;14;9,98;9,98;60,65
733,69;6,98;14;7,24;7,24;60,4
733,67;5,32;14;5,58;5,58;60,15
733,65;5,82;14;6,08;6,08;59,9
733,64;5,32;14;5,57;5,57;59,78
733,66;5,22;14;5,47;5,47;60,03
733,65;5,34;14;5,59;5,59;59,9
733,62;7,46;14;7,71;7,71;59,53
733,59;6,84;14;7,08;7,08;59,16
733,58;7,8;14;8,04;8,04;59,04
733,58;8,52;14;8,76;8,76;59,04
733,58;8,36;14;8,6;8,6;59,04
733,56;5,7;14;5,94;5,94;58,8
733,54;4,34;14;4,58;4,58;58,55
733,52;3,36;14;3,6;3,6;58,31
733,52;2,96;14;3,2;3,2;58,31
733,49;3,58;14;3,82;3,82;57,95
733,45;4,16;14;4,41;4,41;57,46
733,42;4,06;14;4,31;4,31;57,1
733,42;4,2;14;4,45;4,45;57,1
733,42;3,96;14;4,21;4,21;57,1
733,39;3,1;14;3,36;3,36;56,73
733,35;6,58;14;6,84;6,84;56,26
733,31;9,3;14;9,56;9,56;55,77
733,34;22,1;14;22,37;22,37;56,13
733,46;40,6;14;40,87;40,87;57,58
733,51;29,6;14;29,88;29,88;58,19
733,59;23,73;14;24,01;24,01;59,16
733,59;19,96;14;20,25;20,25;59,16
733,59;15,98;14;16,27;16,27;59,16
733,59;12,6;14;12,9;12,9;59,16
733,65;11,56;14;11,86;11,86;59,9
733,65;9,58;14;9,89;9,89;59,9
733,65;7,26;14;7,57;7,57;59,9
733,63;6,12;14;6,44;6,44;59,65
733,6;6,62;14;6,95;6,95;59,28
733,58;5,8;14;6,13;6,13;59,04
733,59;6;13;6,34;6,34;59,16
733,56;6,04;14;6,39;6,39;58,8
733,53;7,28;14;7,63;7,63;58,43
733,51;6,68;14;7,04;7,04;58,19
733,52;6,9;14;7,26;7,26;58,31
733,52;6,98;14;7,35;7,35;58,31
733,52;8,04;14;8,41;8,41;58,31
733,52;8,52;14;8,9;8,9;58,31
733,52;7,9;14;8,29;8,29;58,31
733,49;9,72;14;10,11;10,11;57,95
733,47;10,56;14;10,95;10,95;57,7
733,49;13,92;15;14,32;14,32;57,95
733,49;16,08;14;16,48;16,48;57,95
733,55;17,18;14;17,59;17,59;58,68
733,61;15,78;14;16,19;16,19;59,41
733,62;14,64;14;15,05;15,05;59,53
733,62;15,92;14;16,34;16,34;59,53
733,58;12,9;14;13,32;13,32;59,04
733,58;13,08;14;13,5;13,5;59,04
733,66;12,56;14;12,98;12,98;60,03
733,67;12,58;14;13,01;13,01;60,15
733,66;7,44;14;7,87;7,87;60,03
733,64;6,16;14;6,59;6,59;59,78
733,63;4,76;14;5,19;5,19;59,65
733,59;6,28;14;6,7;6,7;59,16
733,57;7,04;14;7,46;7,46;58,92
733,58;7,38;14;7,8;7,8;59,04
733,57;9,58;14;10;10;58,92
733,55;11,78;14;12,2;12,2;58,68
733,57;11,46;14;11,87;11,87;58,92
733,6;12,82;14;13,23;13,23;59,28
733,62;13,84;14;14,25;14,25;59,53
733,62;15,36;14;15,76;15,76;59,53
733,63;17,68;14;28,08;28,08;59,65
733,67;18,84;14;29,24;29,24;60,15
