Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
733,33;6;14;10,05;6,25;56,01
733,3;6;14;10,05;6,25;55,66
733,28;9;14;10,04;9,24;55,42
733,3;19;14;9,64;19,24;55,78
733,28;9;14;9,64;9,24;55,54
733,24;4;14;11,64;4,24;54,94
733,21;6;14;9,63;6,23;54,58
733,23;19;14;8,63;19,23;54,82
733,21;9;14;11,63;9,23;54,58
733,17;4;14;12,23;4,23;54,11
733,19;19;14;9,23;19,23;54,34
733,17;9;14;9,23;9,23;54,11
733,13;4;14;10,89;4,23;53,64
733,08;1;14;8,63;1,23;52,82
733,08;14;14;8,03;14,23;53,05
733,08;14;14;10,03;14,23;53,05
733,05;6;14;14,63;6,23;52,7
733,05;14;14;13,63;14,23;52,7
733,09;24;14;13,03;24,23;53,17
733,07;9;14;14,03;9,23;52,93
733,06;11;14;14,04;11,24;52,82
733,05;11;14;10,44;11,24;52,7
733,05;14;14;13,04;14,24;52,7
733,02;6;14;12,05;6,25;41,19
733,05;22;14;11,65;22,25;52,7
733,02;6;14;11,65;6,25;52,35
733;9;14;9,92;9,26;52,11
733;14;14;14,26;14,26;52,11
733,12;45;14;45,27;45,27;53,99
733,08;2,7;13;2,97;2,97;52,35
733,04;2,7;13;7,26;2,97;52,58
733,05;15,55;13;11,22;15,83;52,7
733,07;18,21;13;13,79;18,49;52,93
733,08;15,55;13;11,29;15,29;53,05
733,09;15,55;13;9,7;1,3;58,17
733,1;15,55;13;8,7;10,3;53,29
733,1;13;13;6,51;5,31;53,29
733,08;7,91;13;7,51;11,31;53,05
733,06;7,79;13;6,32;4,32;52,82
733,02;2,81;13;6,12;6,32;52,35
732,99;5,25;13;4,73;4,33;52
732,96;6,48;14;6,93;4,33;51,65
732,93;5,36;13;7,34;4,34;51,3
732,91;8,02;13;8,14;15,34;51,07
732,89;7,91;13;8,35;8,35;50,84
732,87;7,91;13;8,75;8,35;50,61
732,84;5,48;13;5,75;5,35;50,27
732,81;5,36;13;5,36;6,36;49,92
732,76;0,62;13;4,56;0,36;49,35
732,73;5,48;13;4,16;6,36;49,01
732,68;0,62;13;5,57;4,37;48,44
732,65;5,59;13;6,57;3,37;48,1
732,65;13;13;7,37;13,37;48,1
732,62;5,48;13;8,57;5,37;47,76
732,61;10,57;13;9,17;10,37;47,65
732,6;10,45;13;7,97;10,38;47,54
732,57;5,71;13;8,18;6,38;47,2
732,55;8,14;13;7,78;7,38;46,98
732,52;5,71;13;7,18;6,38;46,64
732,5;8,02;13;7,38;8,38;46,42
732,48;8,14;13;8,18;7,38;46,2
732,46;8,14;13;11,38;7,38;45,98
732,46;13;13;13,18;11,38;45,98
732,5;22,72;13;19,18;22,38;46,42
732,52;17,98;13;25,71;17,38;46,64
732,62;37,42;13;37,38;37,38;47,76
732,78;52,7;13;52,38;52,38;49,58
732,9;43,32;13;41,38;41,38;50,96
732,97;30,71;13;26,38;26,38;51,77
733,01;23,07;13;18,04;18,38;52,23
733,01;13;13;13,97;9,37;52,23
733,02;15,66;13;14,17;11,37;52,35
733,01;0;52,23;14,4;0;52,23
733,08;0;53,05;16,26;0;53,05
733,11;0;53,4;17,36;0;53,4
733,15;0;53,87;18,89;0;53,87
733,18;0;54,23;15,81;0;54,23
733,19;0;54,34;13,69;0;54,34
733,2;0;54,46;10,94;0;54,46
733,2;0;54,46;9,98;0;54,46
733,19;0;54,34;8,87;0;54,34
733,2;0;54,46;8,53;0;54,46
733,19;0;54,34;8,46;0;54,34
733,2;0;54,46;11,7;0;54,46
733,19;0;54,34;16,01;0;54,34
733,23;0;54,82;19,31;0;54,82
733,32;0;55,9;23,88;0;55,9
733,37;0;56,49;30,2;0;56,49
733,46;0;57,58;33,5;0;57,58
