ota (m);Afluencia (m3/s);Defluencia (m3/s);Vazao Natural (m3/s);Volume Util (%);Data da Medicao
733.94;10;13;6;60.06;27/05/2002
733.93;10;13;6;59.94;28/05/2002
733.93;14;14;8;59.94;29/05/2002
733.92;11;14;6;59.81;30/05/2002
733.91;10;13;6;59.68;31/05/2002
733.9;10;13;6;59.56;01/06/2002
733.89;11;14;5;59.43;02/06/2002
733.88;11;14;7;59.3;03/06/2002
733.87;11;14;7;59.18;04/06/2002
733.86;11;14;6;59.05;05/06/2002
733.84;8;14;4;58.8;06/06/2002
733.82;9;14;4;58.55;07/06/2002
733.8;8;14;5;58.3;08/06/2002
733.79;10;13;8;58.17;09/06/2002
733.77;8;13;5;57.92;10/06/2002
733.74;5;13;1;57.55;11/06/2002
733.73;11;14;7;57.43;12/06/2002
733.7;6;14;4;57.05;13/06/2002
733.68;9;14;6;56.81;14/06/2002
733.65;6;14;2;56.44;15/06/2002
733.64;10;13;5;56.31;16/06/2002
733.64;13;13;11;56.31;17/06/2002
733.61;5;13;3;55.95;18/06/2002
733.59;9;14;3;55.7;19/06/2002
733.57;8;13;3;55.46;20/06/2002
733.55;8;13;3;55.21;21/06/2002
733.54;11;14;5;55.09;22/06/2002
733.53;11;14;5;54.97;23/06/2002
733.52;10;13;6;54.85;24/06/2002
733.52;13;13;6;54.85;25/06/2002
733.52;13;13;9;54.85;26/06/2002
733.51;10;13;4;54.73;27/06/2002
733.5;11;14;5;54.61;28/06/2002
733.49;11;14;6;54.49;29/06/2002
733.48;10;13;7;54.37;30/06/2002
733.46;8;13;4;54.13;01/07/2002
733.43;5;13;1;53.77;02/07/2002
733.42;10;13;6;53.65;03/07/2002
733.41;11;14;6;53.53;04/07/2002
733.39;9;14;4;53.29;05/07/2002
733.37;9;14;4;53.05;06/07/2002
733.35;9;14;3;52.81;07/07/2002
733.34;11;14;6;52.69;08/07/2002
733.32;9;14;3;52.45;09/07/2002
733.3;9;14;4;52.22;10/07/2002
733.29;10;13;6;52.1;11/07/2002
733.34;27;14;22;52.69;12/07/2002
733.36;18;13;13;52.93;13/07/2002
733.37;16;13;11;53.05;14/07/2002
733.36;11;14;5;52.93;15/07/2002
733.35;11;14;6;52.81;16/07/2002
733.35;14;14;8;52.81;17/07/2002
733.33;8;14;3;52.57;18/07/2002
733.32;11;14;6;52.45;19/07/2002
733.31;11;14;6;52.34;20/07/2002
733.3;11;14;5;52.22;21/07/2002
733.28;8;13;3;51.98;22/07/2002
733.28;13;13;9;51.98;23/07/2002
733.26;8;13;3;51.75;24/07/2002
733.25;11;14;6;51.63;25/07/2002
733.23;8;14;4;51.39;26/07/2002
733.21;8;14;4;51.16;27/07/2002
733.19;8;13;3;50.93;28/07/2002
733.17;8;13;4;50.69;29/07/2002
733.15;8;13;4;50.46;30/07/2002
733.13;8;13;5;50.23;31/07/2002
733.13;13;13;9;50.23;01/08/2002
733.13;13;13;8;50.23;02/08/2002
733.15;19;13;15;50.46;03/08/2002
733.15;13;13;11;50.46;04/08/2002
733.14;11;13;8;50.34;05/08/2002
733.13;11;13;8;50.23;06/08/2002
733.12;11;13;7;50.11;07/08/2002
733.1;8;13;6;49.88;08/08/2002
733.08;8;13;5;49.65;09/08/2002
733.06;8;13;6;49.42;10/08/2002
733.04;8;13;7;49.19;11/08/2002
733.01;6;13;2;48.18;12/08/2002
732.98;6;13;2;47.87;13/08/2002
732.96;8;13;5;47.65;14/08/2002
732.93;6;13;3;47.34;15/08/2002
732.9;6;13;2;47.6;16/08/2002
732.88;8;13;5;47.38;17/08/2002
732.86;8;13;3;47.16;18/08/2002
732.84;8;13;4;46.93;19/08/2002
732.81;6;13;2;46.59;20/08/2002
732.79;8;13;5;46.37;21/08/2002
732.77;8;13;4;46.15;22/08/2002
732.74;6;13;2;45.81;23/08/2002
732.72;8;14;7;45.59;24/08/2002
732.69;6;14;3;45.26;25/08/2002
732.66;6;14;3;44.93;26/08/2002
732.63;6;14;2;44.6;27/08/2002
732.6;6;14;3;44.28;28/08/2002
732.56;3;14;1;43.84;29/08/2002
732.54;8;13;5;43.62;30/08/2002
732.53;11;13;10;43.52;31/08/2002
732.5;6;13;2;43.19;01/09/2002
732.46;4;13;1;42.79;02/09/2002
732.43;6;14;2;42.44;03/09/2002
732.41;9;14;5;42.22;04/09/2002
732.38;6;14;3;41.87;05/09/2002
732.34;4;14;4;41.49;06/09/2002
732.33;11;14;9;41.38;07/09/2002
732.29;4;13;1;40.98;08/09/2002
732.26;6;13;4;40.67;09/09/2002
732.23;6;13;5;40.33;10/09/2002
732.2;6;13;3;40.02;11/09/2002
732.17;6;13;3;39.71;12/09/2002
732.13;4;13;1;39.3;13/09/2002
732.12;11;13;7;39.19;14/09/2002
732.1;9;13;6;38.99;15/09/2002
732.08;9;13;5;38.78;16/09/2002
732.06;9;13;4;38.58;17/09/2002
732.04;9;13;5;38.37;18/09/2002
732.01;6;13;2;38.07;19/09/2002
732.06;25;13;19;38.58;20/09/2002
732.07;16;13;9;38.68;21/09/2002
732.08;16;14;9;38.78;22/09/2002
732.08;14;14;9;38.78;23/09/2002
732.07;11;14;6;38.68;24/09/2002
732.07;14;14;6;38.68;25/09/2002
732.06;11;14;6;38.58;26/09/2002
732.04;9;14;4;38.36;27/09/2002
732.02;9;14;5;38.17;28/09/2002
732;9;14;4;37.97;29/09/2002
731.97;7;14;3;37.67;30/09/2002
731.96;11;14;7;37.56;01/10/2002
731.95;11;14;6;37.46;02/10/2002
731.95;14;14;6;37.46;03/10/2002
731.92;11;14;8;37;04/10/2002
731.89;7;14;2;36.69;05/10/2002
731.86;7;14;3;36.56;06/10/2002
731.83;6;14;4;36.27;07/10/2002
731.8;7;13;5;35.97;08/10/2002
731.76;5;14;2;35.58;09/10/2002
731.73;7;14;2;35.29;10/10/2002
731.68;2;14;1;34.76;11/10/2002
731.65;10;14;5;34.51;12/10/2002
731.61;5;14;1;34.13;13/10/2002
731.56;3;14;1;33.65;14/10/2002
731.52;5;14;2;33.25;15/10/2002
731.48;5;14;2;32.9;16/10/2002
731.44;5;13;2;32.52;17/10/2002
731.41;7;13;4;32.25;18/10/2002
731.43;17;13;12;32.43;19/10/2002
731.43;14;14;9;32.43;20/10/2002
731.43;14;14;10;32.43;21/10/2002
731.42;11;14;7;32.34;22/10/2002
731.39;7;14;2;32.09;23/10/2002
731.38;11;14;8;31.96;24/10/2002
731.36;9;14;5;31.78;25/10/2002
731.35;11;14;7;31.65;26/10/2002
731.33;9;14;4;31.51;27/10/2002
731.3;7;13;3;31.25;28/10/2002
731.31;15;13;10;31.34;29/10/2002
731.39;30;13;25;32.09;30/10/2002
731.4;16;14;10;32.15;31/10/2002
731.41;16;14;10;32.25;01/11/2002
731.42;16;13;10;32.34;02/11/2002
731.42;13;13;9;32.34;03/11/2002
731.41;11;13;7;32.25;04/11/2002
731.41;13;13;8;32.25;05/11/2002
731.41;13;13;8;32.25;06/11/2002
731.41;13;13;10;32.25;07/11/2002
731.42;15;13;12;32.34;08/11/2002
731.41;11;13;7;32.25;09/11/2002
731.42;16;13;11;32.34;10/11/2002
731.44;18;13;13;32.56;11/11/2002
731.52;31;13;25;33.27;12/11/2002
731.58;26;13;20;33.84;13/11/2002
731.64;27;13;23;34.46;14/11/2002
731.67;20;13;15;34.71;15/11/2002
731.78;38;13;32;35.78;16/11/2002
731.84;27;13;21;36.37;17/11/2002
731.94;36;13;31;37.36;18/11/2002
731.98;23;13;18;37.77;19/11/2002
731.98;13;13;10;37.77;20/11/2002
731.96;11;13;7;37.68;21/11/2002
731.9;11;13;6;37.56;22/11/2002
731.97;16;14;11;37.67;23/11/2002
732;20;14;16;37.97;24/11/2002
732.02;18;14;14;38.17;25/11/2002
732.07;25;14;20;38.68;26/11/2002
732.08;16;14;12;38.78;27/11/2002
732.1;18;14;14;38.99;28/11/2002
732.1;14;14;8;38.99;29/11/2002
732.11;16;14;10;39.09;30/11/2002
732.11;14;14;8;39.09;01/12/2002
732.12;14;13;11;39.19;02/12/2002
732.09;7;13;1;38.89;03/12/2002
732.09;14;14;9;38.89;04/12/2002
732.11;18;13;14;39.09;05/12/2002
732.11;13;13;9;39.09;06/12/2002
732.14;20;13;16;39.4;07/12/2002
732.19;25;14;20;39.92;08/12/2002
732.23;23;14;18;40.33;09/12/2002
732.27;23;14;18;40.75;10/12/2002
732.33;28;14;22;41.38;11/12/2002
732.44;40;13;25;42.55;12/12/2002
732.48;23;14;18;42.98;13/12/2002
732.52;23;14;19;43.41;14/12/2002
732.55;21;14;15;43.72;15/12/2002
732.58;21;14;16;44.06;16/12/2002
732.67;36;13;31;45.07;17/12/2002
732.68;16;13;12;45.15;18/12/2002
732.67;11;13;7;45.04;19/12/2002
732.67;13;13;9;45.04;20/12/2002
732.65;9;13;4;44.82;21/12/2002
732.64;11;14;6;44.71;22/12/2002
732.62;9;14;4;44.49;23/12/2002
732.6;9;14;5;44.28;24/12/2002
732.59;11;13;4;44.17;25/12/2002
732.58;11;14;6;44.06;26/12/2002
732.56;8;14;3;43.84;27/12/2002
732.56;14;14;8;43.84;28/12/2002
732.55;12;14;5;43.73;29/12/2002
732.54;12;14;6;43.62;30/12/2002
732.51;7;14;2;43.3;31/12/2002
732.5;12;14;7;43.19;01/01/2003
732.48;8;13;3;42.98;02/01/2003
732.47;11;13;7;42.87;03/01/2003
732.48;15;13;12;42.98;04/01/2003
732.49;15;13;10;43.08;05/01/2003
732.49;14;14;9;43.08;06/01/2003
732.48;12;14;7;42.98;07/01/2003
732.47;12;14;7;42.87;08/01/2003
732.46;12;14;8;42.76;09/01/2003
732.51;25;13;22;43.3;10/01/2003
732.54;20;13;16;43.62;11/01/2003
732.58;23;13;18;44.06;12/01/2003
732.6;18;13;15;44.28;13/01/2003
732.59;11;13;7;44.17;14/01/2003
732.59;13;13;10;44.17;15/01/2003
732.58;12;14;7;44.06;16/01/2003
732.57;12;14;7;43.95;17/01/2003
732.58;16;14;10;44.06;18/01/2003
732.58;14;14;8;44.06;19/01/2003
732.58;14;14;9;44.06;20/01/2003
732.62;24;14;19;44.49;21/01/2003
732.68;28;13;24;45.15;22/01/2003
732.75;30;13;26;45.92;23/01/2003
732.82;30;13;27;46.7;24/01/2003
732.85;21;13;17;47.04;25/01/2003
732.88;22;14;17;47.38;26/01/2003
732.95;31;14;27;48.17;27/01/2003
733.08;47;14;43;49.62;28/01/2003
733.17;37;14;33;50.69;29/01/2003
733.27;40;14;36;51.86;30/01/2003
733.35;35;13;30;52.81;31/01/2003
733.39;24;13;19;53.29;01/02/2003
733.41;19;13;14;53.53;02/02/2003
733.4;11;13;6;53.41;03/02/2003
733.41;16;13;12;53.53;04/02/2003
733.4;11;14;7;53.41;05/02/2003
733.39;11;14;7;53.29;06/02/2003
733.39;14;14;12;53.29;07/02/2003
733.38;11;14;9;53.17;08/02/2003
733.42;24;13;20;53.65;09/02/2003
733.4;8;13;4;53.41;10/02/2003
733.38;8;13;4;53.17;11/02/2003
733.37;11;13;7;53.05;12/02/2003
733.38;16;13;12;53.17;13/02/2003
733.39;16;13;12;53.29;14/02/2003
733.39;14;14;8;53.29;15/02/2003
733.39;13;13;10;53.29;16/02/2003
733.44;27;13;23;53.89;17/02/2003
733.51;33;14;29;54.73;18/02/2003
733.58;32;13;29;55.58;19/02/2003
733.65;33;13;28;56.44;20/02/2003
733.68;22;13;17;56.81;21/02/2003
733.7;19;13;15;57.05;22/02/2003
733.71;16;13;11;57.18;23/02/2003
733.72;16;13;12;57.3;24/02/2003
733.72;14;14;9;57.3;25/02/2003
733.71;11;14;7;57.18;26/02/2003
733.69;8;14;4;56.93;27/02/2003
733.67;8;14;4;56.68;28/02/2003
733.66;5;13;5;56.56;01/03/2003
733.64;3;13;4;56.31;02/03/2003
733.67;18;13;18;56.68;03/03/2003
733.67;9;14;9;56.68;04/03/2003
733.68;12;14;12;56.81;05/03/2003
733.68;10;14;10;56.81;06/03/2003
733.73;25;14;25;57.43;07/03/2003
733.77;21;14;22;57.92;08/03/2003
733.8;17;14;17;58.3;09/03/2003
733.81;11;14;11;58.42;10/03/2003
733.81;8;14;9;58.42;11/03/2003
733.82;12;14;13;58.55;12/03/2003
733.82;10;14;10;58.55;13/03/2003
733.81;7;14;7;58.42;14/03/2003
733.81;10;14;11;58.42;15/03/2003
733.8;5;14;6;58.3;16/03/2003
733.84;20;14;21;58.8;17/03/2003
733.88;21;14;21;59.3;18/03/2003
733.92;20;14;20;59.81;19/03/2003
733.97;23;14;23;60.44;20/03/2003
734.04;29;14;29;61.34;21/03/2003
734.07;16;14;17;61.73;22/03/2003
734.11;19;14;19;62.24;23/03/2003
734.13;14;14;15;62.5;24/03/2003
734.16;17;14;18;62.89;25/03/2003
734.17;11;14;11;63.02;26/03/2003
734.18;12;14;12;63.15;27/03/2003
734.18;9;14;9;63.15;28/03/2003
734.18;9;14;9;63.15;29/03/2003
734.18;9;14;9;63.15;30/03/2003
734.18;9;14;9;63.15;31/03/2003
734.17;11;14;6;63.02;01/04/2003
734.16;11;14;7;62.89;02/04/2003
734.14;8;14;4;62.63;03/04/2003
734.15;16;14;12;62.76;04/04/2003
734.15;14;14;8;62.76;05/04/2003
734.22;34;14;29;63.68;06/04/2003
734.24;20;14;15;63.94;07/04/2003
734.26;20;14;15;64.2;08/04/2003
734.28;20;14;15;64.47;09/04/2003
734.27;10;13;6;64.34;10/04/2003
734.28;17;14;12;64.47;11/04/2003
734.28;14;14;8;64.47;12/04/2003
734.28;14;14;8;64.47;13/04/2003
734.26;7;14;3;64.2;14/04/2003
734.25;10;14;7;64.07;15/04/2003
734.25;14;14;9;64.07;16/04/2003
734.23;7;14;3;63.81;17/04/2003
734.21;7;14;4;63.55;18/04/2003
734.26;29;14;23;64.21;19/04/2003
734.31;29;14;22;64.87;20/04/2003
734.34;22;13;17;65.26;21/04/2003
734.36;20;14;16;65.53;22/04/2003
734.36;14;14;11;65.53;23/04/2003
734.35;10;14;8;65.4;24/04/2003
734.34;10;14;7;65.26;25/04/2003
735.33;11;14;7;65.13;26/04/2003
734.32;10;14;6;65;27/04/2003
734.3;7;14;3;64.69;28/04/2003
734.29;10;14;7;64.51;29/04/2003
734.27;7;14;5;64.34;30/04/2003
734.26;7;14;7;64.2;01/05/2003
734.26;8;14;9;64.2;02/05/2003
734.25;5;14;5;64.07;03/05/2003
734.25;8;14;9;64.07;04/05/2003
734.25;8;14;8;64.07;05/05/2003
734.24;6;14;6;63.94;06/05/2003
734.23;5;14;6;63.76;07/05/2003
734.21;3;14;3;63.55;08/05/2003
734.2;6;14;7;63.42;09/05/2003
734.2;9;14;10;63.42;10/05/2003
734.2;9;14;9;63.42;11/05/2003
734.17;1;14;1;63.02;12/05/2003
734.15;3;14;4;62.76;13/05/2003
734.13;3;14;4;62.5;14/05/2003
734.12;6;14;7;62.37;15/05/2003
734.1;4;14;4;62.11;16/05/2003
734.1;6;14;7;62.11;17/05/2003
734.1;6;14;6;62.11;18/05/2003
734.08;3;14;3;61.85;19/05/2003
734.04;3;14;4;61.34;20/05/2003
734.01;1;14;1;60.95;21/05/2003
734;7;14;7;60.83;22/05/2003
733.99;7;14;7;60.7;23/05/2003
733.99;6;14;6;60.7;24/05/2003
733.99;5;14;5;60.7;25/05/2003
733.98;4;14;4;60.52;26/05/2003
733.94;6;14;7;60.39;27/05/2003
733.92;4;14;5;59.81;28/05/2003
733.9;4;14;5;59.55;29/05/2003
733.88;3;14;4;59.3;30/05/2003
733.88;4;14;4;59.3;31/05/2003
733.88;14;14;4;59.3;01/06/2003
733.82;1;14;4;58.55;02/06/2003
733.8;8;14;5;58.29;03/06/2003
733.8;14;14;10;58.3;04/06/2003
733.78;8;14;3;58.05;05/06/2003
733.76;8;14;4;57.8;06/06/2003
733.76;14;14;10;57.8;07/06/2003
733.77;16;14;12;57.89;08/06/2003
733.77;14;14;6;57.92;09/06/2003
733.75;8;14;3;57.66;10/06/2003
733.72;5;14;4;57.3;11/06/2003
733.71;11;14;7;57.18;12/06/2003
733.69;8;14;4;56.93;13/06/2003
733.69;14;14;5;56.93;14/06/2003
733.69;14;14;3;56.93;15/06/2003
733.65;2;14;9;56.44;16/06/2003
733.62;5;14;2;56.07;17/06/2003
733.61;11;14;7;55.94;18/06/2003
733.6;11;14;3;55.82;19/06/2003
733.57;5;14;5;55.46;20/06/2003
733.57;14;14;4;55.46;21/06/2003
733.57;14;14;4;55.46;22/06/2003
733.51;1;14;4;54.73;23/06/2003
733.49;8;14;4;54.49;24/06/2003
733.47;8;14;4;54.25;25/06/2003
733.44;5;14;2;53.89;26/06/2003
733.42;8;14;4;53.65;27/06/2003
733.44;19;14;4;53.89;28/06/2003
733.4;3;14;3;53.41;29/06/2003
733.36;3;14;4;52.93;30/06/2003
733.34;8;14;4;52.67;01/07/2003
733.32;8;14;4;52.45;02/07/2003
733.3;8;14;4;52.22;03/07/2003
733.27;5;14;2;51.86;04/07/2003
733.24;3;14;2;51.51;05/07/2003
733.22;8;14;4;51.28;06/07/2003
733.2;8;13;4;51.04;07/07/2003
733.17;6;14;1;50.69;08/07/2003
733.15;8;14;4;50.46;09/07/2003
733.16;11;14;11;50.58;10/07/2003
733.15;11;14;5;50.46;11/07/2003
733.13;9;14;1;50.24;12/07/2003
733.13;14;14;8;50.23;13/07/2003
733.12;11;14;5;50.11;14/07/2003
733.11;11;14;6;50;15/07/2003
733.1;11;14;5;49.88;16/07/2003
733.09;11;14;8;49.77;17/07/2003
733.08;11;14;3;49.64;18/07/2003
733.08;14;14;3;49.64;19/07/2003
733.08;14;14;6;49.65;20/07/2003
733.02;3;14;5;49.17;21/07/2003
733;8;14;5;48.91;22/07/2003
732.98;8;14;5;48.65;23/07/2003
732.98;14;14;1;48.51;24/07/2003
732.96;8;14;5;48.28;25/07/2003
732.94;14;14;5;48.05;26/07/2003
732.96;8;14;4;47.83;27/07/2003
732.9;9;14;4;47.6;28/07/2003
732.88;8;14;4;47.34;29/07/2003
732.86;8;14;4;47.08;30/07/2003
732.84;8;14;5;46.93;31/07/2003
732.81;6;14;2;46.59;01/08/2003
732.81;14;14;4;46.59;02/08/2003
732.81;14;14;1;46.59;03/08/2003
732.74;1;14;5;46.02;04/08/2003
732.71;6;14;3;45.67;05/08/2003
732.68;6;14;2;45.32;06/08/2003
732.66;8;14;5;45.06;07/08/2003
732.64;8;14;4;44.71;08/08/2003
732.64;14;14;9;44.71;09/08/2003
732.64;14;14;8;44.71;10/08/2003
732.62;8;14;4;44.49;11/08/2003
732.59;6;14;3;44.17;12/08/2003
732.58;11;14;7;44.04;13/08/2003
732.55;6;14;3;43.69;14/08/2003
732.53;9;14;4;43.52;15/08/2003
732.53;14;14;4;43.52;16/08/2003
732.53;14;14;3;43.52;17/08/2003
732.44;1;14;5;42.55;18/08/2003
732.41;6;14;2;42.23;19/08/2003
732.38;6;14;3;41.91;20/08/2003
732.35;6;14;3;41.59;21/08/2003
732.32;6;14;4;41.28;22/08/2003
732.32;14;14;4;41.28;23/08/2003
732.32;14;14;3;41.28;24/08/2003
732.24;1;14;3;40.44;25/08/2003
732.2;4;14;2;40.02;26/08/2003
732.18;9;14;3;39.81;27/08/2003
732.16;9;14;4;39.61;28/08/2003
732.14;9;14;4;39.4;29/08/2003
732.14;14;14;6;39.4;30/08/2003
732.14;14;14;5;39.4;31/08/2003
732.11;6;14;6;39.09;01/09/2003
732.09;9;14;4;38.89;02/09/2003
732.07;9;14;4;38.68;03/09/2003
732.04;6;14;2;38.37;04/09/2003
732.01;7;14;3;38.07;05/09/2003
731.98;7;14;4;37.77;06/09/2003
731.95;7;14;3;37.46;07/09/2003
731.93;9;14;6;37.26;08/09/2003
731.89;4;14;1;36.86;09/09/2003
731.87;9;14;5;36.66;10/09/2003
731.88;16;14;11;36.76;11/09/2003
731.87;11;14;6;36.66;12/09/2003
731.85;9;14;4;36.47;13/09/2003
731.81;5;14;6;36.07;14/09/2003
731.82;16;14;4;36.17;15/09/2003
731.83;16;14;11;36.27;16/09/2003
731.8;11;14;2;35.97;17/09/2003
731.8;14;14;9;35.97;18/09/2003
731.77;7;14;3;35.68;19/09/2003
731.77;14;14;6;35.68;20/09/2003
731.77;14;14;3;35.68;21/09/2003
731.7;1;14;6;35;22/09/2003
731.66;5;14;2;34.61;23/09/2003
731.64;14;14;3;34.42;24/09/2003
731.6;5;14;3;34.03;25/09/2003
731.55;3;14;1;33.56;26/09/2003
731.52;7;14;5;33.27;27/09/2003
731.52;14;14;11;33.27;28/09/2003
731.48;5;14;1;32.9;29/09/2003
731.43;3;14;1;32.43;30/09/2003
731.4;7;14;3;32.15;01/10/2003
731.37;7;14;4;31.88;02/10/2003
731.34;7;14;4;31.6;03/10/2003
731.3;5;14;1;31.24;04/10/2003
731.27;7;14;3;30.96;05/10/2003
731.23;6;14;2;30.6;06/10/2003
731.2;8;14;3;30.33;07/10/2003
731.14;2;14;1;29.8;08/10/2003
731.17;20;14;13;30.06;09/10/2003
731.12;4;14;3;29.62;10/10/2003
731.22;34;14;29;30.51;11/10/2003
731.26;22;13;15;30.87;12/10/2003
731.29;20;14;14;31.14;13/10/2003
731.32;20;14;14;31.4;14/10/2003
731.34;18;14;12;31.6;15/10/2003
731.34;14;14;8;31.6;16/10/2003
731.34;14;14;8;31.6;17/10/2003
731.33;11;14;6;31.51;18/10/2003
731.33;14;14;4;31.51;19/10/2003
731.25;1;14;2;30.78;20/10/2003
731.22;7;14;6;30.51;21/10/2003
731.19;7;14;3;30.24;22/10/2003
731.17;9;14;5;30.02;23/10/2003
731.14;7;14;3;29.8;24/10/2003
731.12;9;14;5;29.62;25/10/2003
731.09;7;14;3;29.36;26/10/2003
731.07;9;14;5;29.18;27/10/2003
731.06;11;13;6;29.09;28/10/2003
731.06;14;14;7;29.09;29/10/2003
731.06;14;14;8;29.09;30/10/2003
731.06;14;14;8;29.09;31/10/2003
731.05;11;14;6;29;01/11/2003
731.04;12;14;5;28.92;02/11/2003
731.04;14;14;8;28.92;03/11/2003
731.05;15;13;9;29;04/11/2003
731.09;22;14;15;29.36;05/11/2003
731.12;20;14;14;29.62;06/11/2003
731.14;18;14;13;29.8;07/11/2003
731.15;16;14;10;29.89;08/11/2003
731.13;9;14;3;29.71;09/11/2003
731.13;14;14;7;29.71;10/11/2003
731.1;7;14;3;29.44;11/11/2003
731.06;5;14;2;29.09;12/11/2003
731.05;11;14;7;29;13/11/2003
731.02;8;14;3;28.74;14/11/2003
730.99;8;14;3;28.48;15/11/2003
730.96;8;14;3;28.22;16/11/2003
730.97;15;14;12;28.31;17/11/2003
730.95;10;14;6;28.14;18/11/2003
730.94;12;14;7;28.05;19/11/2003
730.92;10;14;6;27.88;20/11/2003
730.9;10;14;5;27.71;21/11/2003
730.89;12;14;6;27.62;22/11/2003
730.88;12;14;5;27.54;23/11/2003
730.86;10;14;5;27.37;24/11/2003
730.85;12;14;8;27.29;25/11/2003
730.82;8;14;4;27.03;26/11/2003
730.8;10;14;5;26.86;27/11/2003
730.82;17;14;13;27.03;28/11/2003
730.82;14;14;6;27.03;29/11/2003
730.82;14;14;3;27.03;30/11/2003
730.78;6;14;7;26.7;01/12/2003
730.76;10;14;6;26.53;02/12/2003
730.73;8;14;4;26.28;03/12/2003
730.7;8;14;4;26.03;04/12/2003
730.68;10;14;8;25.87;05/12/2003
730.68;14;14;11;25.87;06/12/2003
730.68;14;14;14;25.87;07/12/2003
730.75;27;14;11;26.45;08/12/2003
730.77;17;14;13;26.61;09/12/2003
730.77;14;14;8;26.61;10/12/2003
730.75;10;14;6;26.45;11/12/2003
730.72;8;14;4;26.2;12/12/2003
730.72;14;14;9;26.2;13/12/2003
730.72;14;14;9;26.2;14/12/2003
730.72;14;14;10;26.2;15/12/2003
730.75;19;14;14;26.45;16/12/2003
730.82;27;14;23;27.03;17/12/2003
730.89;27;14;23;27.62;18/12/2003
730.95;25;14;20;28.14;19/12/2003
730.96;15;14;10;28.22;20/12/2003
731;21;14;16;28.57;21/12/2003
731.01;15;14;11;28.66;22/12/2003
731.04;20;14;15;28.92;23/12/2003
731.05;15;14;10;29;24/12/2003
731.05;14;14;7;29;25/12/2003
731.08;20;14;14;29.27;26/12/2003
731.08;14;14;8;29.27;27/12/2003
731.08;14;14;8;29.27;28/12/2003
731.11;20;14;15;29.53;29/12/2003
731.1;11;14;7;29.44;30/12/2003
731.08;9;14;5;29.27;31/12/2003
731.08;14;14;8;29.27;01/01/2004
731.08;14;14;7;29.27;02/01/2004
731.08;14;14;6;29.27;03/01/2004
731.08;14;14;7;29.27;04/01/2004
731.1;18;14;12;29.44;05/01/2004
731.09;11;14;7;29.36;06/01/2004
731.08;11;14;7;29.27;07/01/2004
731.07;11;14;7;29.18;08/01/2004
731.11;22;14;16;29.53;09/01/2004
731.11;14;14;10;29.53;10/01/2004
731.11;14;14;10;29.53;11/01/2004
731.14;20;14;11;29.8;12/01/2004
731.12;9;14;6;29.62;13/01/2004
731.1;9;14;5;29.44;14/01/2004
731.1;14;14;10;29.44;15/01/2004
731.09;11;14;8;29.36;16/01/2004
731.07;9;14;5;29.18;17/01/2004
731.06;11;14;6;29.09;18/01/2004
731.03;8;14;4;28.83;19/01/2004
731.01;10;14;6;28.66;20/01/2004
731.01;14;14;9;28.66;21/01/2004
731.01;14;14;9;28.66;22/01/2004
730.99;10;14;5;28.48;23/01/2004
730.98;12;14;8;28.4;24/01/2004
730.98;14;14;10;28.4;25/01/2004
731.11;39;14;34;29.53;26/01/2004
731.24;40;14;34;30.69;27/01/2004
731.35;36;14;31;31.69;28/01/2004
731.46;37;14;31;32.71;29/01/2004
731.54;31;14;25;33.46;30/01/2004
731.65;38;14;33;34.51;31/01/2004
731.74;33;14;29;35.38;01/02/2004
731.87;43;14;38;36.66;02/02/2004
731.95;32;14;28;37.46;03/02/2004
731.98;20;14;16;37.77;04/02/2004
732.05;30;14;26;38.48;05/02/2004
732.1;25;14;20;38.99;06/02/2004
732.14;23;14;17;39.4;07/02/2004
732.15;16;14;12;39.5;08/02/2004
732.21;25;14;20;40.12;09/02/2004
732.23;18;13;13;40.33;10/02/2004
732.25;18;14;14;40.54;11/02/2004
732.26;16;14;11;40.65;12/02/2004
732.25;11;14;6;40.54;13/02/2004
732.24;11;14;8;40.44;14/02/2004
732.28;23;14;18;40.85;15/02/2004
732.32;23;14;17;41.28;16/02/2004
732.33;16;14;11;41.38;17/02/2004
732.34;16;14;11;41.49;18/02/2004
732.33;11;14;7;41.38;19/02/2004
732.32;11;14;7;41.28;20/02/2004
732.3;9;14;4;41.06;21/02/2004
732.41;40;13;34;42.23;22/02/2004
732.49;33;14;27;43.08;23/02/2004
732.56;31;14;25;43.84;24/02/2004
732.63;31;14;25;44.6;25/02/2004
732.67;24;14;18;45.04;26/02/2004
732.72;26;14;21;45.59;27/02/2004
732.74;19;14;13;45.81;28/02/2004
732.76;19;14;12;46.03;29/02/2004
732.81;26;14;22;46.59;01/03/2004
732.82;16;14;12;46.7;02/03/2004
732.83;16;14;12;46.82;03/03/2004
732.92;37;14;32;47.83;04/03/2004
732.96;24;14;19;48.28;05/03/2004
733.05;37;14;31;49.31;06/03/2004
733.1;27;13;21;49.88;07/03/2004
733.1;13;13;32;49.88;08/03/2004
733.23;24;14;19;51.39;09/03/2004
733.25;19;14;14;51.63;10/03/2004
733.25;14;14;10;51.63;11/03/2004
733.25;14;14;10;51.63;12/03/2004
733.24;11;14;8;51.51;13/03/2004
733.23;11;14;8;51.39;14/03/2004
733.27;24;14;20;51.86;15/03/2004
733.28;16;14;13;51.98;16/03/2004
733.28;14;14;9;51.98;17/03/2004
733.27;11;14;7;51.86;18/03/2004
733.29;19;14;16;52.1;19/03/2004
733.3;16;14;14;52.22;20/03/2004
733.31;16;14;11;52.34;21/03/2004
